Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Entity ID
LC08_CU_006014_20200106_20200119_C01_V01,2020/01/06,CU,6,14,2020/01/19,0,0,0,93.8546,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20200106_20200119_C01_V01,LC08_CU_006014_20200106_C01_V01
LC08_CU_007013_20200106_20200119_C01_V01,2020/01/06,CU,7,13,2020/01/19,0.9536,0.2064,1.0943,38.3387,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,34°22'20.95"N,112°38'44.09"W,34°22'20.95"N,110°46'20.77"W,34°22'20.95"N,112°38'44.09"W,32°49'37.21"N,112°38'44.09"W,34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20200106_20200119_C01_V01,LC08_CU_007013_20200106_C01_V01
LC08_CU_007014_20200106_20200119_C01_V01,2020/01/06,CU,7,14,2020/01/19,0.5947,0.1498,0.045,4.1062,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LC08_CU_007014_20200106_20200119_C01_V01,LC08_CU_007014_20200106_C01_V01
LE07_CU_007014_20200107_20200204_C01_V01,2020/01/07,CU,7,14,2020/02/04,1.6105,0.1543,0.3163,94.2101,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LE07_CU_007014_20200107_20200204_C01_V01,LE07_CU_007014_20200107_C01_V01
LE07_CU_006013_20200112_20200209_C01_V01,2020/01/12,CU,6,13,2020/02/09,0.2331,0.0333,0.0017,47.4142,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,34°08'59.72"N,114°15'16.35"W,34°08'59.72"N,112°21'53.03"W,34°08'59.72"N,114°15'16.35"W,32°35'08"N,114°15'16.35"W,34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LE07_CU_006013_20200112_20200209_C01_V01,LE07_CU_006013_20200112_C01_V01
LE07_CU_006014_20200112_20200209_C01_V01,2020/01/12,CU,6,14,2020/02/09,1.583,0.0178,0.0014,83.8418,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LE07_CU_006014_20200112_20200209_C01_V01,LE07_CU_006014_20200112_C01_V01
LC08_CU_006013_20200113_20200130_C01_V01,2020/01/13,CU,6,13,2020/01/30,0.2053,0.0305,0,37.6737,LANDSAT_8,OLI/TIRS,3,WGS84,AEA,METERS,01,01,34°08'59.72"N,114°15'16.35"W,34°08'59.72"N,112°21'53.03"W,34°08'59.72"N,114°15'16.35"W,32°35'08"N,114°15'16.35"W,34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20200113_20200130_C01_V01,LC08_CU_006013_20200113_C01_V01
LC08_CU_006014_20200113_20200130_C01_V01,2020/01/13,CU,6,14,2020/01/30,0.6999,0.1055,0,3.2311,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20200113_20200130_C01_V01,LC08_CU_006014_20200113_C01_V01
LC08_CU_007013_20200113_20200130_C01_V01,2020/01/13,CU,7,13,2020/01/30,0.4423,0.1492,0.1354,28.6501,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,34°22'20.95"N,112°38'44.09"W,34°22'20.95"N,110°46'20.77"W,34°22'20.95"N,112°38'44.09"W,32°49'37.21"N,112°38'44.09"W,34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20200113_20200130_C01_V01,LC08_CU_007013_20200113_C01_V01
LC08_CU_007014_20200113_20200130_C01_V01,2020/01/13,CU,7,14,2020/01/30,0.0277,0.0086,0,70.5948,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LC08_CU_007014_20200113_20200130_C01_V01,LC08_CU_007014_20200113_C01_V01
