,Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Entity ID
341,LC08_CU_006013_20171010_20190429_C01_V01,2017/10/10,CU,6,13,2019/04/29,4.4073,3.6957,0.0,31.0918,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20171010_20190429_C01_V01,LC08_CU_006013_20171010_C01_V01
342,LC08_CU_006014_20171010_20190430_C01_V01,2017/10/10,CU,6,14,2019/04/30,1.7590000000000001,1.0405,0.0,75.0901,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171010_20190430_C01_V01,LC08_CU_006014_20171010_C01_V01
347,LC08_CU_006014_20171012_20181203_C01_V01,2017/10/12,CU,6,14,2018/12/03,0.0,0.0,0.0,92.5641,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171012_20181203_C01_V01,LC08_CU_006014_20171012_C01_V01
348,LC08_CU_007013_20171012_20181203_C01_V01,2017/10/12,CU,7,13,2018/12/03,0.6937,0.4911,0.0,36.1809,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20171012_20181203_C01_V01,LC08_CU_007013_20171012_C01_V01
349,LC08_CU_007014_20171012_20181203_C01_V01,2017/10/12,CU,7,14,2018/12/03,2.1937,1.4928,0.0,3.1753,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171012_20181203_C01_V01,LC08_CU_007014_20171012_C01_V01
353,LC08_CU_006013_20171019_20190502_C01_V01,2017/10/19,CU,6,13,2019/05/02,0.0168,0.0021,0.0,35.5269,LANDSAT_8,OLI/TIRS,3,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20171019_20190502_C01_V01,LC08_CU_006013_20171019_C01_V01
354,LC08_CU_006014_20171019_20190502_C01_V01,2017/10/19,CU,6,14,2019/05/02,4.5189,2.3615,0.0,2.435,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171019_20190502_C01_V01,LC08_CU_006014_20171019_C01_V01
355,LC08_CU_007013_20171019_20181203_C01_V01,2017/10/19,CU,7,13,2018/12/03,27.5186,5.4364,0.0004,30.7851,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20171019_20181203_C01_V01,LC08_CU_007013_20171019_C01_V01
356,LC08_CU_007014_20171019_20190502_C01_V01,2017/10/19,CU,7,14,2019/05/02,1.9401,1.7346,0.0,72.7983,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171019_20190502_C01_V01,LC08_CU_007014_20171019_C01_V01
360,LC08_CU_007014_20171021_20181126_C01_V01,2017/10/21,CU,7,14,2018/11/26,0.4076,0.2182,0.0,93.6926,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171021_20181126_C01_V01,LC08_CU_007014_20171021_C01_V01
361,LC08_CU_006013_20171026_20190429_C01_V01,2017/10/26,CU,6,13,2019/04/29,0.0082,0.0018,0.0,31.2795,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20171026_20190429_C01_V01,LC08_CU_006013_20171026_C01_V01
362,LC08_CU_006014_20171026_20190430_C01_V01,2017/10/26,CU,6,14,2019/04/30,0.2591,0.0874,0.0,75.2801,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171026_20190430_C01_V01,LC08_CU_006014_20171026_C01_V01
367,LC08_CU_006014_20171028_20181130_C01_V01,2017/10/28,CU,6,14,2018/11/30,0.0,0.0,0.0,92.5209,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171028_20181130_C01_V01,LC08_CU_006014_20171028_C01_V01
368,LC08_CU_007013_20171028_20181130_C01_V01,2017/10/28,CU,7,13,2018/11/30,0.0987,0.0346,0.0,36.1104,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20171028_20181130_C01_V01,LC08_CU_007013_20171028_C01_V01
369,LC08_CU_007014_20171028_20181130_C01_V01,2017/10/28,CU,7,14,2018/11/30,0.1239,0.0583,0.0,3.1471,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171028_20181130_C01_V01,LC08_CU_007014_20171028_C01_V01
373,LC08_CU_006013_20171104_20190429_C01_V01,2017/11/04,CU,6,13,2019/04/29,19.1871,7.8363,0.0007,35.4814,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20171104_20190429_C01_V01,LC08_CU_006013_20171104_C01_V01
374,LC08_CU_006014_20171104_20190429_C01_V01,2017/11/04,CU,6,14,2019/04/29,48.489,10.8634,0.0002,2.4203,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171104_20190429_C01_V01,LC08_CU_006014_20171104_C01_V01
375,LC08_CU_007013_20171104_20181203_C01_V01,2017/11/04,CU,7,13,2018/12/03,59.4374,11.7157,0.0145,30.8399,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20171104_20181203_C01_V01,LC08_CU_007013_20171104_C01_V01
376,LC08_CU_007014_20171104_20190429_C01_V01,2017/11/04,CU,7,14,2019/04/29,93.6108,4.2571,0.0,72.851,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171104_20190429_C01_V01,LC08_CU_007014_20171104_C01_V01
380,LC08_CU_007014_20171106_20181126_C01_V01,2017/11/06,CU,7,14,2018/11/26,51.4337,18.5083,0.0,93.6724,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171106_20181126_C01_V01,LC08_CU_007014_20171106_C01_V01
381,LC08_CU_006013_20171111_20190605_C01_V01,2017/11/11,CU,6,13,2019/06/05,0.5722,0.4126,0.0,31.0444,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20171111_20190605_C01_V01,LC08_CU_006013_20171111_C01_V01
382,LC08_CU_006014_20171111_20190605_C01_V01,2017/11/11,CU,6,14,2019/06/05,6.5236,2.7237,0.0,75.0307,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171111_20190605_C01_V01,LC08_CU_006014_20171111_C01_V01
387,LC08_CU_006014_20171113_20181126_C01_V01,2017/11/13,CU,6,14,2018/11/26,69.7784,10.0519,0.0,92.7502,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171113_20181126_C01_V01,LC08_CU_006014_20171113_C01_V01
388,LC08_CU_007013_20171113_20181204_C01_V01,2017/11/13,CU,7,13,2018/12/04,40.4761,13.7016,0.0011,36.4743,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20171113_20181204_C01_V01,LC08_CU_007013_20171113_C01_V01
389,LC08_CU_007014_20171113_20181130_C01_V01,2017/11/13,CU,7,14,2018/11/30,36.3464,8.8345,0.0001,3.2958,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171113_20181130_C01_V01,LC08_CU_007014_20171113_C01_V01
393,LC08_CU_006013_20171120_20190429_C01_V01,2017/11/20,CU,6,13,2019/04/29,18.4571,14.1622,0.0,36.7767,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20171120_20190429_C01_V01,LC08_CU_006013_20171120_C01_V01
394,LC08_CU_006014_20171120_20190429_C01_V01,2017/11/20,CU,6,14,2019/04/29,14.2095,8.0706,0.0,2.883,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171120_20190429_C01_V01,LC08_CU_006014_20171120_C01_V01
395,LC08_CU_007013_20171120_20181126_C01_V01,2017/11/20,CU,7,13,2018/11/26,15.1662,10.4488,0.0051,29.5558,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20171120_20181126_C01_V01,LC08_CU_007013_20171120_C01_V01
396,LC08_CU_007014_20171120_20190429_C01_V01,2017/11/20,CU,7,14,2019/04/29,19.0375,5.3608,0.0,71.5375,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171120_20190429_C01_V01,LC08_CU_007014_20171120_C01_V01
400,LC08_CU_007014_20171122_20181204_C01_V01,2017/11/22,CU,7,14,2018/12/04,0.0478,0.034,0.0,94.4307,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171122_20181204_C01_V01,LC08_CU_007014_20171122_C01_V01
401,LC08_CU_006013_20171127_20190502_C01_V01,2017/11/27,CU,6,13,2019/05/02,96.0955,3.9045,0.0,29.3847,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20171127_20190502_C01_V01,LC08_CU_006013_20171127_C01_V01
402,LC08_CU_006014_20171127_20190502_C01_V01,2017/11/27,CU,6,14,2019/05/02,78.4269,6.7208,0.0604,73.3378,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171127_20190502_C01_V01,LC08_CU_006014_20171127_C01_V01
407,LC08_CU_006014_20171129_20181121_C01_V01,2017/11/29,CU,6,14,2018/11/21,86.7769,5.6111,0.0,93.7549,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171129_20181121_C01_V01,LC08_CU_006014_20171129_C01_V01
408,LC08_CU_007013_20171129_20181130_C01_V01,2017/11/29,CU,7,13,2018/11/30,82.0755,10.8627,0.006,38.1795,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20171129_20181130_C01_V01,LC08_CU_007013_20171129_C01_V01
409,LC08_CU_007014_20171129_20181126_C01_V01,2017/11/29,CU,7,14,2018/11/26,82.0878,5.8187,0.0001,4.0299,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171129_20181126_C01_V01,LC08_CU_007014_20171129_C01_V01
413,LC08_CU_006013_20171206_20190429_C01_V01,2017/12/06,CU,6,13,2019/04/29,0.1631,0.0216,0.0,36.9012,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20171206_20190429_C01_V01,LC08_CU_006013_20171206_C01_V01
414,LC08_CU_006014_20171206_20190429_C01_V01,2017/12/06,CU,6,14,2019/04/29,18.9559,9.7207,0.0006,2.9329,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171206_20190429_C01_V01,LC08_CU_006014_20171206_C01_V01
415,LC08_CU_007013_20171206_20181203_C01_V01,2017/12/06,CU,7,13,2018/12/03,0.5014,0.1639,0.0,29.4197,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20171206_20181203_C01_V01,LC08_CU_007013_20171206_C01_V01
416,LC08_CU_007014_20171206_20190429_C01_V01,2017/12/06,CU,7,14,2019/04/29,1.8879,2.0246,0.0,71.3869,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171206_20190429_C01_V01,LC08_CU_007014_20171206_C01_V01
420,LC08_CU_007014_20171208_20181129_C01_V01,2017/12/08,CU,7,14,2018/11/29,0.0525,0.0329,0.0002,94.3777,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171208_20181129_C01_V01,LC08_CU_007014_20171208_C01_V01
421,LC08_CU_006013_20171213_20190429_C01_V01,2017/12/13,CU,6,13,2019/04/29,0.5878,0.557,0.0,30.4769,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20171213_20190429_C01_V01,LC08_CU_006013_20171213_C01_V01
422,LC08_CU_006014_20171213_20190429_C01_V01,2017/12/13,CU,6,14,2019/04/29,1.5943,0.2584,0.0,74.444,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171213_20190429_C01_V01,LC08_CU_006014_20171213_C01_V01
427,LC08_CU_006014_20171215_20181120_C01_V01,2017/12/15,CU,6,14,2018/11/20,0.0,0.0,0.0,92.8368,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171215_20181120_C01_V01,LC08_CU_006014_20171215_C01_V01
428,LC08_CU_007013_20171215_20181204_C01_V01,2017/12/15,CU,7,13,2018/12/04,0.1036,0.0349,0.0042,36.6055,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20171215_20181204_C01_V01,LC08_CU_007013_20171215_C01_V01
429,LC08_CU_007014_20171215_20181130_C01_V01,2017/12/15,CU,7,14,2018/11/30,0.2313,0.1328,0.0,3.3527,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20171215_20181130_C01_V01,LC08_CU_007014_20171215_C01_V01
433,LC08_CU_006013_20171222_20190429_C01_V01,2017/12/22,CU,6,13,2019/04/29,0.0652,0.0058,0.0008,35.5144,LANDSAT_8,OLI/TIRS,3,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20171222_20190429_C01_V01,LC08_CU_006013_20171222_C01_V01
434,LC08_CU_006014_20171222_20190429_C01_V01,2017/12/22,CU,6,14,2019/04/29,0.8936,0.0541,0.0001,2.4351,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20171222_20190429_C01_V01,LC08_CU_006014_20171222_C01_V01
435,LC08_CU_007013_20171222_20181130_C01_V01,2017/12/22,CU,7,13,2018/11/30,0.4208,0.1659,0.0004,30.7948,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20171222_20181130_C01_V01,LC08_CU_007013_20171222_C01_V01
