,Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Entity ID
806,LC08_CU_007013_20181015_20190614_C01_V01,2018/10/15,CU,7,13,2019/06/14,39.5254,5.7029,0.0001,37.2116,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20181015_20190614_C01_V01,LC08_CU_007013_20181015_C01_V01
807,LC08_CU_007014_20181015_20190614_C01_V01,2018/10/15,CU,7,14,2019/06/14,13.519,5.2724,0.0,3.5966,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20181015_20190614_C01_V01,LC08_CU_007014_20181015_C01_V01
811,LC08_CU_006013_20181022_20190614_C01_V01,2018/10/22,CU,6,13,2019/06/14,1.2661,0.7997,0.0,36.5206,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20181022_20190614_C01_V01,LC08_CU_006013_20181022_C01_V01
812,LC08_CU_006014_20181022_20190614_C01_V01,2018/10/22,CU,6,14,2019/06/14,47.9307,15.0825,0.0008,2.7824,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20181022_20190614_C01_V01,LC08_CU_006014_20181022_C01_V01
813,LC08_CU_007013_20181022_20190614_C01_V01,2018/10/22,CU,7,13,2019/06/14,47.6882,11.0202,0.0023,29.7704,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20181022_20190614_C01_V01,LC08_CU_007013_20181022_C01_V01
814,LC08_CU_007014_20181022_20190614_C01_V01,2018/10/22,CU,7,14,2019/06/14,96.28200000000001,2.9759,0.0141,71.7794,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20181022_20190614_C01_V01,LC08_CU_007014_20181022_C01_V01
818,LC08_CU_007014_20181024_20190613_C01_V01,2018/10/24,CU,7,14,2019/06/13,0.1816,0.0641,0.0,94.1709,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20181024_20190613_C01_V01,LC08_CU_007014_20181024_C01_V01
819,LC08_CU_006013_20181029_20190614_C01_V01,2018/10/29,CU,6,13,2019/06/14,62.8115,12.4543,0.0002,30.5188,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20181029_20190614_C01_V01,LC08_CU_006013_20181029_C01_V01
820,LC08_CU_006014_20181029_20190614_C01_V01,2018/10/29,CU,6,14,2019/06/14,5.2305,1.6981,0.0,74.5162,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20181029_20190614_C01_V01,LC08_CU_006014_20181029_C01_V01
825,LC08_CU_006014_20181031_20190614_C01_V01,2018/10/31,CU,6,14,2019/06/14,0.0,0.0,0.0,92.9218,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20181031_20190614_C01_V01,LC08_CU_006014_20181031_C01_V01
